survey_long,file,variable,description,sheet,population,definition
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,COUNTFD2,Number of foods Day2,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ENERGYF2,Energy with dietary fibre (food) Day 2 kJ,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ENRGYF2,Energy without dietary fibre (food) Day 2 kJ,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MOISTF2,Moisture (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROTF2,Protein (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FATF2,Total fat (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOWSAF2,Carbohydrate with Sugar Alcohols (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOWOAF2,Carbohydrate without Sugar Alcohols (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,STARCHF2,Starch (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SUGARF2,Sugars (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FIBREF2,Dietary fibre (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALCF2,Alcohol (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PREVAF2,Preformed Vitamin A (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PROVAF2,Provitamin A (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RETEQF2,Retinol Equivalents (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B1F2,Thiamin (B1) (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B2F2,Riboflavin (B2) (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B3F2,Niacin (B3) (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,NIACINF2,Niacin Equivalents (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLATF2,Folate natural (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLICF2,Folic Acid (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TOTFOLF2,Total folates (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FOLEQF2,Dietary folate equivalents (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B6F2,B6 (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,B12F2,B12 (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITCF2,Vitamin C (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VITEF2,Vitamin E (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CALCF2,Calcium (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IODINEF2,Iodine (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,IRONF2,Iron (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MAGF2,Magnesium (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PHOSF2,Phosphorus (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,POTASF2,Potassium (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SELF2,Selenium (food) Day 2 µg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SODIUMF2,Sodium (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ZINCF2,Zinc (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CAFFF2,Caffeine (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,CHOLF2,Cholesterol (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,SATFATF2,Saturated Fat (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MUFATF2,Monounsaturated Fat (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,PUFATF2,Polyunsaturated Fat (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LAF2,Linoleic Acid (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,ALAF2,Alpha-linolenic Acid (food) Day 2 g,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LCN3F2,Omega 3 (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,TRANSF2,Trans Fatty Acids (food) Day 2 mg,Risk factors - Nutrition,All persons who completed second (CATI) nutrition interview,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LEVEL3,Person level,Administrative,NA,NA
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,WHRSC,Waist-to-hip ratio (WHR) - score measured,Physical Measurements&Body Mass,All persons aged 18 years and over,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,GRAINS1N,"Grains and cereals (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,WHOLGR1N,"Wholegrain or high fibre cereal/grains (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,REFGRA1N,"Refined or lower fibre cereals/grains (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VEGLEG1N,"Vegetables and legumes/beans (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,GREENS1N,"Green and brassica vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,VGORSV1N,"Orange vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,STARCH1N,"Starchy vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,LEGVEG1N,"Legumes as a vegetable (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,OTHVEG1N,"Other vegetables (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FRUIT1N,"Fruit (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FRSHF1N,"Fresh/canned fruit (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,DRFR1N,"Dried fruit (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,FRJUIC1N,"Fruit juice (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,DAIRY1N,"Milk, yoghurt, cheese and/or alternatives (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,DAIRHF1N,"Higher fat dairy foods (>10% fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,DAIRMF1N,"Medium fat dairy foods (4-10 pc. fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,DAIRLF1N,"Lower fat dairy foods (<4% fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MEAT1N,"Meat, poultry and alternatives (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MEATL1N,"Meats, poultry and alternatives, ADG criteria (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,MEATLD1N,"Meats, poultry and alternatives, non-ADG criteria (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RDMTL1N,"Red meat, lean (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RDMTLU1N,"Red meat unprocessed (<10 pc. fat) (day 1, non-discretionary) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RDMTLP1N,"Red meat processed (<10 pc fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
National Aboriginal & Torres Strait Islander Nutrition & Physical Activity Survey,inp13bsp,RDMTN1N,"Red meat, non-lean (>=10% fat) (day 1, non-disc food source) (serves)",Risk factors - Nutrition,All persons,X
